Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,106.000000,106.190002,105.059998,105.190002,101.408073,19411400
2016-03-29,104.889999,107.790001,104.879997,107.680000,103.808548,31190100
2016-03-30,108.650002,110.419998,108.599998,109.559998,105.620964,45601100
2016-03-31,109.720001,109.900002,108.879997,108.989998,105.071449,25888400
2016-04-01,108.779999,110.000000,108.199997,109.989998,106.035492,25874000
2016-04-04,110.419998,112.190002,110.269997,111.120003,107.124870,37356200
2016-04-05,109.510002,110.730003,109.419998,109.809998,105.861961,26578700
2016-04-06,110.230003,110.980003,109.199997,110.959999,106.970619,26404100
2016-04-07,109.949997,110.419998,108.120003,108.540001,104.637642,31801900
2016-04-08,108.910004,109.769997,108.169998,108.660004,104.753311,23581700
2016-04-11,108.970001,110.610001,108.830002,109.019997,105.100365,29407500
2016-04-12,109.339996,110.500000,108.660004,110.440002,106.469315,27232300
2016-04-13,110.800003,112.339996,110.800003,112.040001,108.011795,33257300
2016-04-14,111.620003,112.389999,111.330002,112.099998,108.069626,25473900
2016-04-15,112.110001,112.300003,109.730003,109.849998,105.900528,46939000
2016-04-18,108.889999,108.949997,106.940002,107.480003,103.615730,60834000
2016-04-19,107.879997,108.000000,106.230003,106.910004,103.066238,32384900
2016-04-20,106.639999,108.089996,106.059998,107.129997,103.278313,30611000
2016-04-21,106.930000,106.930000,105.519997,105.970001,102.160034,31552500
2016-04-22,105.010002,106.480003,104.620003,105.680000,101.880447,33683100
2016-04-25,105.000000,105.650002,104.510002,105.080002,101.302032,28031600
2016-04-26,103.910004,105.300003,103.910004,104.349998,100.598267,56016200
2016-04-27,96.000000,98.709999,95.680000,97.820000,94.303055,114602100
2016-04-28,97.610001,97.879997,94.250000,94.830002,91.420547,82242700
2016-04-29,93.989998,94.720001,92.510002,93.739998,90.369751,68531500
2016-05-02,93.970001,94.080002,92.400002,93.639999,90.273338,48160100
2016-05-03,94.199997,95.739998,93.680000,95.180000,91.757965,56831300
2016-05-04,95.199997,95.900002,93.820000,94.190002,90.803566,41025500
2016-05-05,94.000000,94.070000,92.680000,93.239998,90.434990,35890500
2016-05-06,93.370003,93.449997,91.849998,92.720001,89.930626,43458200
2016-05-09,93.000000,93.769997,92.589996,92.790001,89.998528,32936400
2016-05-10,93.330002,93.570000,92.110001,93.419998,90.609573,33686800
2016-05-11,93.480003,93.570000,92.459999,92.510002,89.726952,28719100
2016-05-12,92.720001,92.779999,89.470001,90.339996,87.622231,76314700
2016-05-13,90.000000,91.669998,90.000000,90.519997,87.796822,44392800
2016-05-16,92.389999,94.389999,91.650002,93.879997,91.055740,61259800
2016-05-17,94.550003,94.699997,93.010002,93.489998,90.677467,46916900
2016-05-18,94.160004,95.209999,93.889999,94.559998,91.715286,42062400
2016-05-19,94.639999,94.639999,93.570000,94.199997,91.366104,30442100
2016-05-20,94.639999,95.430000,94.519997,95.220001,92.355438,32026000
2016-05-23,95.870003,97.190002,95.669998,96.430000,93.529015,38018600
2016-05-24,97.220001,98.089996,96.839996,97.900002,94.954803,35140200
2016-05-25,98.669998,99.739998,98.110001,99.620003,96.623055,38168800
2016-05-26,99.680000,100.730003,98.639999,100.410004,97.389297,56331200
2016-05-27,99.440002,100.470001,99.250000,100.349998,97.331093,36229500
2016-05-31,99.599998,100.400002,98.820000,99.860001,96.855843,42307200
2016-06-01,99.019997,99.540001,98.330002,98.459999,95.497963,29173300
2016-06-02,97.599998,97.839996,96.629997,97.720001,94.780220,40191600
2016-06-03,97.790001,98.269997,97.449997,97.919998,94.974190,28062900
2016-06-06,97.989998,101.889999,97.550003,98.629997,95.662834,23292500
2016-06-07,99.250000,99.870003,98.959999,99.029999,96.050804,22409500
2016-06-08,99.019997,99.559998,98.680000,98.940002,95.963516,20848100
2016-06-09,98.500000,99.989998,98.459999,99.650002,96.652145,26601400
2016-06-10,98.529999,99.349998,98.480003,98.830002,95.856812,31712900
2016-06-13,98.690002,99.120003,97.099998,97.339996,94.411644,38020500
2016-06-14,97.320000,98.480003,96.750000,97.459999,94.528046,31931900
2016-06-15,97.820000,98.410004,97.029999,97.139999,94.217667,29445200
